name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
rrdtool-perl,库,工具,Perl RRDtool bindings,The Perl RRDtool bindings,库,bindings
rrdtool-ruby,库,服务,Ruby RRDtool bindings,The rrdtool-ruby package includes RRDtool bindings for Ruby.,库,bindings
rrdtool-tcl,库,工具,Tcl RRDtool bindings,The rrdtool-tcl package includes RRDtool bindings for Tcl.,库,bindings
rsync,工具,库,A program for synchronizing files over a network,"Rsync uses a reliable algorithm to bring remote and host files into
sync very quickly. Rsync is fast because it just sends the differences
in the files over the network instead of sending the complete
files. Rsync is often used as a very powerful mirroring process or
just as a more capable replacement for the rcp command. A technical
report which describes the rsync algorithm is included in this
package.",工具,program
rubberband,库,工具,Audio time-stretching and pitch-shifting library,"Rubber Band is a library and utility program that permits you to change the
tempo and pitch of an audio recording independently of one another.",库,library
ruby,工具,库,An interpreter of object-oriented scripting language,"Ruby is the interpreted scripting language for quick and easy
object-oriented programming.  It has many features to process text
files and to do system management tasks (as in Perl).  It is simple,
straight-forward, and extensible.",工具,ruby语言运行程序
rubygem-did_you_mean,库,服务,"""Did you mean?"" experience in Ruby","""did you mean?"" experience in Ruby: the error message will tell you the right
one when you misspelled something.",库,rubygem-
rubygem-minitest,库,服务,Minitest provides a complete suite of testing facilities,"minitest/unit is a small and incredibly fast unit testing framework.

minitest/spec is a functionally complete spec engine.

minitest/benchmark is an awesome way to assert the performance of your
algorithms in a repeatable manner.

minitest/mock by Steven Baker, is a beautifully tiny mock object
framework.

minitest/pride shows pride in testing and adds coloring to your test
output.",库,rubygem-
rubygem-openssl,库,工具,"OpenSSL provides SSL, TLS and general purpose cryptography","OpenSSL provides SSL, TLS and general purpose cryptography. It wraps the
OpenSSL library.",库,rubygem-
rubygem-power_assert,库,其它,Power Assert for Ruby,"Power Assert shows each value of variables and method calls in the expression.
It is useful for testing, providing which value wasn't correct when the
condition is not satisfied.",库,rubygem-
rubygem-rake,库,服务,Ruby based make-like utility,"Rake is a Make-like program implemented in Ruby. Tasks and dependencies are
specified in standard Ruby syntax.",库,rubygem-
rubygem-rdoc,库,服务,A tool to generate HTML and command-line documentation for Ruby projects,"RDoc produces HTML and command-line documentation for Ruby projects.  RDoc
includes the 'rdoc' and 'ri' tools for generating and displaying online
documentation.",库,rubygem-
rubygem-test-unit,库,服务,An xUnit family unit testing framework for Ruby,"Test::Unit (test-unit) is unit testing framework for Ruby, based on xUnit
principles. These were originally designed by Kent Beck, creator of extreme
programming software development methodology, for Smalltalk's SUnit. It allows
writing tests, checking results and automated testing in Ruby.",库,rubygem-
rubygem-xmlrpc,库,服务,XMLRPC is a lightweight protocol that enables remote procedure calls over HTTP,"XMLRPC is a lightweight protocol that enables remote procedure calls over
HTTP.",库,rubygem-
rubygem-bundler,库,服务,Library and utilities to manage a Ruby application's gem dependencies,"Bundler manages an application's dependencies through its entire life, across
many machines, systematically and repeatably.",库,rubygem-
rubygem-irb,库,服务,The Interactive Ruby,"The irb is acronym for Interactive Ruby.  It evaluates ruby expression
from the terminal.",库,rubygem-
rubygem-typeprof,库,服务,TypeProf is a type analysis tool for Ruby code based on abstract interpretation,"TypeProf performs a type analysis of non-annotated Ruby code.
It abstractly executes input Ruby code in a level of types instead of values,
gathers what types are passed to and returned by methods, and prints the
analysis result in RBS format, a standard type description format for Ruby
3.0.",库,rubygem-
rubygem-bson,库,服务,Ruby implementation of the BSON specification,A fully featured BSON specification implementation in Ruby.,库,rubygem-
runc,服务,库,CLI for running Open Containers,"The runc command can be used to start containers which are packaged
in accordance with the Open Container Initiative's specifications,
and to manage containers running under runc.",工具,CLI
cargo,工具,库,Rust's package manager and build tool,"Cargo is a tool that allows Rust projects to declare their various dependencies
and ensure that you'll always get a repeatable build.",工具,tool
rls,库,服务,Rust Language Server for IDE integration,"The Rust Language Server provides a server that runs in the background,
providing IDEs, editors, and other tools with information about Rust programs.
It supports functionality such as 'goto definition', symbol search,
reformatting, and code completion, and enables renaming and refactorings.",服务,
rust-analysis,工具,库,Compiler analysis data for the Rust standard library,"This package contains analysis data files produced with rustc's -Zsave-analysis
feature for the Rust standard library. The RLS (Rust Language Server) uses this
data to provide information about the Rust standard library.",工具,
rust-debugger-common,工具,服务,Common debugger pretty printers for Rust,This package includes the common functionality for rust-gdb and rust-lldb.,工具,debugger
rustfmt,工具,库,Tool to find and fix Rust formatting issues,A tool for formatting Rust code according to style guidelines.,工具,
rust-std-static-wasm32-unknown-unknown,库,服务,Standard library for Rust wasm32-unknown-unknown,"This package includes the standard libraries for building applications
written in Rust for the WebAssembly target wasm32-unknown-unknown.",库,library
rust-std-static-wasm32-wasi,库,服务,Standard library for Rust wasm32-wasi,"This package includes the standard libraries for building applications
written in Rust for the WebAssembly target wasm32-wasi.",库,library
ctdb,库,工具,A Clustered Database based on Samba's Trivial Database (TDB),"CTDB is a cluster implementation of the TDB database used by Samba and other
projects to store temporary data. If an application is already using TDB for
temporary data it is very easy to convert that application to be cluster aware
and use CTDB instead.",服务,数据库
libsmbclient,库,服务,The SMB client library,The libsmbclient contains the SMB client library from the Samba suite.,库,library
libwbclient,库,工具,The winbind client library,"The libwbclient package contains the winbind client library from the Samba
suite.",库,library
samba-client,工具,服务,Samba client programs,"The samba-client package provides some SMB/CIFS clients to complement
the built-in SMB/CIFS filesystem in Linux. These clients allow access
of SMB/CIFS shares and printing to SMB/CIFS printers.",工具,client programs
samba-common-libs,库,服务,Libraries used by both Samba servers and clients,"The samba-common-libs package contains internal libraries needed by the
SMB/CIFS clients.",库,#NAME?
samba-common-tools,工具,服务,Tools for Samba servers and clients,"The samba-common-tools package contains tools for Samba servers and
SMB/CIFS clients.",工具,Tools
samba-pidl,工具,库,Perl IDL compiler,"The samba-pidl package contains the Perl IDL compiler used by Samba
and Wireshark to parse IDL and similar protocols",工具,compiler
samba-test-libs,库,服务,Libraries need by the testing tools for Samba servers and clients,samba-test-libs provides libraries required by the testing tools.,库,#NAME?
samba-winbind-clients,工具,服务,Samba winbind clients,"The samba-winbind-clients package provides the wbinfo and ntlm_auth
tool.",工具,clients
samba-winbind-krb5-locator,服务,库,Samba winbind krb5 locator,"The winbind krb5 locator is a plugin for the system kerberos library to allow
the local kerberos library to use the same KDC as samba and winbind use",库,library
samba-winbind-modules,服务,库,Samba winbind modules,"The samba-winbind-modules package provides the NSS library and a PAM module
necessary to communicate to the Winbind Daemon",库,library
sane-backends,工具,服务,Scanner access software,"Scanner Access Now Easy (SANE) is a universal scanner interface.  The
SANE application programming interface (API) provides standardized
access to any raster image scanner hardware (flatbed scanner,
hand-held scanner, video and still cameras, frame-grabbers, etc.).",工具,
sane-backends-daemon,工具,服务,Scanner network daemon,"This package contains saned which is the daemon that allows remote clients to
access image acquisition devices available on the local host.",服务,daemon
sane-backends-drivers-cameras,工具,库,Scanner backend drivers for digital cameras,This package contains backend drivers to access digital cameras through SANE.,工具,跟随主包sane-backends
sane-backends-drivers-scanners,工具,库,SANE backend drivers for scanners,This package contains backend drivers to access scanner hardware through SANE.,工具,跟随主包sane-backends
sane-backends-libs,工具,库,SANE libraries,"This package contains the SANE libraries which are needed by applications that
want to access scanners.",库,libraries
sane-frontends,工具,库,Graphical frontend to SANE,This packages includes the scanadf and xcam programs.,工具,programs
sanlk-reset,服务,库,Host reset daemon and client using sanlock,"The sanlk-reset package contains the reset daemon and client.
A cooperating host running the daemon can be reset by a host
running the client, so long as both maintain access to a
common sanlock lockspace.",服务,
sanlock,服务,库,A shared storage lock manager,The sanlock daemon manages leases for applications on hosts using shared storage.,服务,
sassist,工具,服务,Dell SupportAssist log collector,Dell SupportAssist log collector for Linux.,服务,归类为工具或者服务都可以
satyr,库,工具,"Tools to create anonymous, machine-friendly problem reports","Satyr is a library that can be used to create and process microreports.
Microreports consist of structured data suitable to be analyzed in a fully
automated manner, though they do not necessarily contain sufficient information
to fix the underlying problem. The reports are designed not to contain any
potentially sensitive data to eliminate the need for review before submission.
Included is a tool that can create microreports and perform some basic
operations on them.",工具,Tools
sbd,库,服务,Storage-based death,"
This package contains the storage-based death functionality.

Available rpmbuild rebuild options:
  --with(out) : sync_resource_startup_default",服务,
sblim-cmpi-base,库,工具,SBLIM CMPI Base Providers,"SBLIM (Standards Based Linux Instrumentation for Manageability)
CMPI (Common Manageability Programming Interface) Base Providers
for System-Related CIM (Common Information Model) classes.",库,
sblim-gather,库,服务,SBLIM Gatherer,"Standards Based Linux Instrumentation for Manageability
Performance Data Gatherer Base.
This package contains the agents and control programs for gathering
and providing performance data.",库,
sblim-gather-provider,库,工具,SBLIM Gatherer Provider,"The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer.",库,
sblim-sfcb,库,服务,Small Footprint CIM Broker,"Small Footprint CIM Broker (sfcb) is a CIM server conforming to the
CIM Operations over HTTP protocol.
It is robust, with low resource consumption and therefore specifically
suited for embedded and resource constrained environments.
sfcb supports providers written against the Common Manageability
Programming Interface (CMPI).",库,
scala,工具,库,A hybrid functional/object-oriented language for the JVM,"Scala is a general purpose programming language designed to express common
programming patterns in a concise, elegant, and type-safe way. It smoothly
integrates features of object-oriented and functional languages. It is also
fully interoperable with Java.",工具,scala语言运行工具
scala-apidoc,工具,其它,Documentation for the Scala programming language,"Scala is a general purpose programming language for the JVM that blends
object-oriented and functional programming. This package provides
reference and API documentation for the Scala programming language.",工具,
scala-swing,工具,库,The swing library for the scala programming languages,"This package contains the swing library for the scala programming languages. This library is required to develope GUI-releate applications in scala. The release provided by this package
is not the original version from upstream because this version is not compatible with JDK-1.7.",库,library
scap-workbench,工具,服务,"Scanning, tailoring, editing and validation tool for SCAP content","scap-workbench is GUI tool that provides scanning functionality for SCAP
content. The tool is based on OpenSCAP library.",工具,
ptscotch-mpich-devel-parmetis,库,其它,Parmetis compatibility header for scotch,This package contains the parmetis compatibility header for scotch.,库,-devel-
seabios,工具,服务,Open-source legacy BIOS implementation,"SeaBIOS is an open-source legacy BIOS implementation which can be used as
a coreboot payload. It implements the standard BIOS calling interfaces
that a typical x86 proprietary BIOS implements.",工具,
seabios-bin,工具,服务,Seabios for x86,"SeaBIOS is an open-source legacy BIOS implementation which can be used as
a coreboot payload. It implements the standard BIOS calling interfaces
that a typical x86 proprietary BIOS implements.",工具,
seahorse,工具,库,A GNOME application for managing encryption keys,"Seahorse is a graphical interface for managing and using encryption keys.
It also integrates with nautilus, gedit and other places for encryption
operations.  It is a keyring manager.",工具,
selinux-policy,工具,服务,SELinux policy configuration,"SELinux Base package for SELinux Reference Policy - modular.
Based off of reference policy: Checked out revision  2.20091117",服务,
selinux-policy-minimum,工具,服务,SELinux minimum base policy,SELinux Reference policy minimum base module.,服务,
selinux-policy-mls,工具,服务,SELinux mls base policy,SELinux Reference policy mls base module.,服务,
selinux-policy-sandbox,工具,服务,SELinux policy sandbox,SELinux sandbox policy used for the policycoreutils-sandbox package,服务,
selinux-policy-targeted,工具,服务,SELinux targeted base policy,SELinux Reference policy targeted base module.,服务,
sendmail,工具,服务,A widely used Mail Transport Agent (MTA),"The Sendmail program is a very widely used Mail Transport Agent (MTA).
MTAs send mail from one machine to another. Sendmail is not a client
program, which you use to read your email. Sendmail is a
behind-the-scenes program which actually moves your email over
networks or the Internet to where you want it to go.

If you ever need to reconfigure Sendmail, you will also need to have
the sendmail-cf package installed. If you need documentation on
Sendmail, you can install the sendmail-doc package.",服务,可以归类到工具或者服务
sendmail-milter,工具,库,The sendmail milter library,"The sendmail Mail Filter API (Milter) is designed to allow third-party
programs access to mail messages as they are being processed in order to
filter meta-information and content.

This package includes the milter shared library.",库,library
setroubleshoot,工具,服务,Helps troubleshoot SELinux problems,"setroubleshoot GUI. Application that allows you to view setroubleshoot-server
messages.
Provides tools to help diagnose SELinux problems. When AVC messages
are generated an alert can be generated that will give information
about the problem and help track its resolution. Alerts can be configured
to user preference. The same tools can be run on existing log files.",工具,
setroubleshoot-plugins,工具,服务,Analysis plugins for use with setroubleshoot,"This package provides a set of analysis plugins for use with
setroubleshoot. Each plugin has the capacity to analyze SELinux AVC
data and system data to provide user friendly reports describing how
to interpret SELinux AVC denials.",工具,
setserial,工具,库,A utility for configuring serial ports,"Setserial is a basic system utility for displaying or setting serial
port information. Setserial can reveal and allow you to alter the I/O
port and IRQ that a particular serial device is using, and more.",工具,utility
setup,服务,其它,A set of system configuration and setup files,"The setup package contains a set of important system configuration and
setup files, such as passwd, group, and profile.",服务,目录结构
sgabios,工具,其它,Serial graphics BIOS option rom,"SGABIOS is designed to be inserted into a BIOS as an option rom to provide over
a serial port the display and input capabilities normally handled by a VGA
adapter and a keyboard, and additionally provide hooks for logging displayed
characters for later collection after an operating system boots.",工具,
sgabios-bin,工具,其它,Sgabios for x86,"SGABIOS is designed to be inserted into a BIOS as an option rom to provide over
a serial port the display and input capabilities normally handled by a VGA
adapter and a keyboard, and additionally provide hooks for logging displayed
characters for later collection after an operating system boots.",工具,
sgpio,工具,库,SGPIO captive backplane tool,Intel SGPIO enclosure management utility,工具,tool
shadow-utils-subid,工具,库,A library to manage subordinate uid and gid ranges,Utility library that provides a way to manage subid ranges.,库,有程序有库
shared-mime-info,库,工具,Shared MIME information database,"This is the freedesktop.org shared MIME info database.

Many programs and desktops use the MIME system to represent the types of
files. Frequently, it is necessary to work out the correct MIME type for
a file. This is generally done by examining the file's name or contents,
and looking up the correct MIME type in a database.",库,
shim-unsigned-x64,其它,服务,First-stage UEFI bootloader,"
Initial UEFI bootloader that handles chaining to a trusted full
bootloader under secure boot environments.",服务,
sisu-plexus,库,工具,Sisu Plexus,This package contains Sisu Plexus.,库,
sisu,库,工具,Eclipse dependency injection framework,"Java dependency injection framework with backward support for plexus and bean
style dependency injection.",库,
sisu-mojos,库,工具,Sisu plugin for Apache Maven,"The Sisu Plugin for Maven provides mojos to generate
META-INF/sisu/javax.inject.Named index files for the Sisu container.",库,
skkdic,库,其它,Dictionaries for SKK (Simple Kana-Kanji conversion program),"This package includes the SKK dictionaries, including the large dictionary
SKK-JISYO.L and pubdic+ dictionary.",库,
slapi-nis,库,服务,NIS Server and Schema Compatibility plugins for Directory Server,"This package provides two plugins for Red Hat and 389 Directory Server.

The NIS Server plugin allows the directory server to act as a NIS server
for clients, dynamically generating and updating NIS maps according to
its configuration and the contents of the DIT, and serving the results to
clients using the NIS protocol as if it were an ordinary NIS server.

The Schema Compatibility plugin allows the directory server to provide an
alternate view of entries stored in part of the DIT, optionally adding,
dropping, or renaming attribute values, and optionally retrieving values
for attributes from multiple entries in the tree.",库,主要是库文件
slf4j-jdk14,库,工具,SLF4J JDK14 Binding,SLF4J JDK14 Binding.,库,binding
slf4j-log4j12,库,工具,SLF4J LOG4J-12 Binding,SLF4J LOG4J-12 Binding.,库,binding
slf4j-manual,库,服务,Manual for slf4j,This package provides documentation for slf4j.,库,binding
slirp4netns,工具,库,slirp for network namespaces,"slirp for network namespaces, without copying buffers across the namespaces.",工具,
smartmontools,工具,服务,Tools for monitoring SMART capable hard disks,"The smartmontools package contains two utility programs (smartctl
and smartd) to control and monitor storage systems using the Self-
Monitoring, Analysis and Reporting Technology System (SMART) built
into most modern ATA and SCSI hard disks. In many cases, these
utilities will provide advanced warning of disk degradation and
failure.",工具,Tools
socket_wrapper,库,工具,A library passing all socket communications through Unix sockets,"socket_wrapper aims to help client/server software development teams willing to
gain full functional test coverage. It makes it possible to run several
instances of the full software stack on the same machine and perform locally
functional testing of complex network configurations.

To use it set the following environment variables:

LD_PRELOAD=libsocket_wrapper.so
SOCKET_WRAPPER_DIR=/path/to/swrap_dir

This package doesn't have a devel package because this project is for
development/testing.",库,library
softhsm,工具,服务,Software version of a PKCS#11 Hardware Security Module,"OpenDNSSEC is providing a software implementation of a generic
cryptographic device with a PKCS#11 interface, the SoftHSM. SoftHSM is
designed to meet the requirements of OpenDNSSEC, but can also work together
with other cryptographic products because of the PKCS#11 interface.",工具,
sonatype-plugins-parent,库,工具,Sonatype Plugins Parent POM,"This package provides Sonatype plugins parent POM used by other Sonatype
packages.",库,
sos-audit,服务,工具,Audit use of some commands for support purposes,"
Sos-audit provides configuration files for the Linux Auditing System
to track the use of some commands capable of changing the configuration
of the system. Currently storage and filesystem commands are audited.",服务,控制audit服务的配置文件
spec-version-maven-plugin,库,工具,Spec Version Maven Plugin,"Maven Plugin to configure APIs version and
specs in a MANIFEST.MF file.",库,
spice-client-win-x64,工具,服务,Spice client MSI installers for Windows clients (64 bit),Spice client MSI installers for Windows clients (64 bit),工具,client
spice-client-win-x86,工具,服务,Spice client MSI installers for Windows clients (32 bit),Spice client MSI installers for Windows clients (32 bit),工具,client
spice-gtk,库,服务,A GTK+ widget for SPICE clients,Client libraries for SPICE desktop servers.,库,libraries
spice-gtk3-vala,库,工具,Vala bindings for the spice-gtk-3.0 library,A module allowing use of the spice-gtk-3.0 widget from vala,库,library
spice-gtk-tools,工具,服务,Spice-gtk tools,"Simple clients for interacting with SPICE servers.
spicy is a client to a SPICE desktop server.
spicy-screenshot is a tool to capture screen-shots of a SPICE desktop.",工具,tools
spice-protocol,库,工具,Spice protocol header files,"Header files describing the spice protocol
and the para-virtual graphics card QXL.",库,header files
spice-qxl-wddm-dod,库,服务,A QXL display-only driver for Windows 10 virtual machines.,"QXL is a paravirtualized display driver and a part of SPICE project.
This package provides QXL display-only driver for Windows 10 virtual machines.",服务,spice-可以统一归类到服务
spice-streaming-agent,库,工具,SPICE streaming agent,"An agent, running on a guest, sending video streams of the X display to a
remote client (over SPICE).",服务,spice-可以统一归类到服务
spice-vdagent,库,服务,Agent for Spice guests,"Spice agent for Linux guests offering the following features:

Features:
* Client mouse mode (no need to grab mouse by client, no mouse lag)
  this is handled by the daemon by feeding mouse events into the kernel
  via uinput. This will only work if the active X-session is running a
  spice-vdagent process so that its resolution can be determined.
* Automatic adjustment of the X-session resolution to the client resolution
* Support of copy and paste (text and images) between the active X-session
  and the client",服务,spice-可以统一归类到服务
spice-vdagent-win-x64,库,服务,Spice agent MSI installers for Windows guests (64 bit),Spice agent MSI installers for Windows guests (64 bit),服务,spice-可以统一归类到服务
spice-vdagent-win-x86,库,服务,Spice agent MSI installers for Windows guests (32 bit),Spice agent MSI installers for Windows guests (32 bit),服务,spice-可以统一归类到服务
spirv-tools,工具,库,API and commands for processing SPIR-V modules,"The package includes an assembler, binary module parser,
disassembler, and validator for SPIR-V..",工具,#NAME?
splix,库,服务,Driver for QPDL/SPL2 printers (Samsung and several Xerox printers),"This driver is usable by all printer devices which understand the QPDL
(Quick Page Description Language) also known as SPL2 (Samsung Printer Language)
language. It covers several Samsung, Xerox and Dell printers.
Splix doesn't support old SPL(1) printers.",服务,
lemon,库,工具,A parser generator,"Lemon is an LALR(1) parser generator for C or C++. It does the same
job as bison and yacc. But lemon is not another bison or yacc
clone. It uses a different grammar syntax which is designed to reduce
the number of coding errors. Lemon also uses a more sophisticated
parsing engine that is faster than yacc and bison and which is both
reentrant and thread-safe. Furthermore, Lemon implements features
that can be used to eliminate resource leaks, making is suitable for
use in long-running programs such as graphical user interfaces or
embedded controllers.",工具,
sqlite,库,工具,Library that implements an embeddable SQL database engine,"SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host",库,library
squashfs-tools,工具,库,Utility for the creation of squashfs filesystems,"Squashfs is a highly compressed read-only filesystem for Linux.  This package
contains the utilities for manipulating squashfs filesystems.",工具,#NAME?
srt,工具,服务,Secure Reliable Transport protocol tools,"Secure Reliable Transport (SRT) is an open source transport technology that
optimizes streaming performance across unpredictable networks, such as
the Internet.",工具,tools
srt-libs,库,服务,Secure Reliable Transport protocol libraries,Secure Reliable Transport protocol libraries,库,libraries
sscg,工具,库,Simple SSL certificate generator,"A utility to aid in the creation of more secure ""self-signed""
certificates. The certificates created by this tool are generated in a
way so as to create a CA certificate that can be safely imported into a
client machine to trust the service certificate without needing to set
up a full PKI environment and without exposing the machine to a risk of
false signatures from the service certificate.",工具,utility
libsss_simpleifp,库,服务,The SSSD D-Bus responder helper library,Provides library that simplifies D-Bus API for the SSSD InfoPipe responder.,库,library
sssd-ad,服务,库,The AD back end of the SSSD,"Provides the Active Directory back end that the SSSD can utilize to fetch
identity data from and authenticate against an Active Directory server.",库,本身包含的是so文件，可以归类到库；但是主包是sssd-proxy，可以归类到服务
sssd-nfs-idmap,服务,库,SSSD plug-in for NFSv4 rpc.idmapd,"The libnfsidmap sssd module provides a way for rpc.idmapd to call SSSD to map
UIDs/GIDs to names and vice versa. It can be also used for mapping principal
(user) name to IDs(UID or GID) or to obtain groups which user are member of.",库,
sssd-proxy,服务,工具,The proxy back end of the SSSD,"Provides the proxy back end which can be used to wrap an existing NSS and/or
PAM modules to leverage SSSD caching.",服务,
sssd-winbind-idmap,服务,库,SSSD's idmap_sss Backend for Winbind,"The idmap_sss module provides a way for Winbind to call SSSD to map UIDs/GIDs
and SIDs.",库,
spax,工具,库,Portable archive exchange,"The pax utility shall read and write archives, write lists of the members of
archive files and copy directory hierarchies as is defined in IEEE Std 1003.1.",工具,utility
star,工具,库,An archiving tool with ACL support,"Star saves many files together into a single tape or disk archive,
and can restore individual files from the archive. Star supports ACL.",工具,tool
startdde,工具,服务,Starter of deepin desktop environment,Starter of deepin desktop environment.,服务,
startup-notification,工具,库,Library for tracking application startup,"This package contains libstartup-notification which implements a
startup notification protocol. Using this protocol a desktop
environment can track the launch of an application and provide
feedback such as a busy cursor, among other features.",库,library
stress-ng,工具,库,Stress test a computer system in various ways,"Stress test a computer system in various ways. It was designed to exercise
various physical subsystems of a computer as well as the various operating
system kernel interfaces.",工具,压力测试工具
stunnel,库,服务,A TLS-encrypting socket wrapper,"Stunnel is a socket wrapper which can provide TLS/SSL
(Transport Layer Security/Secure Sockets Layer) support
to ordinary applications. For example, it can be used in
conjunction with imapd to create a TLS secure IMAP server.",服务,
subscription-manager-migration-data,工具,服务,RHN Classic to RHSM migration data,"This package provides certificates for migrating a system from
RHN Classic to RHSM.",工具,
subversion,库,服务,A Modern Concurrent Version Control System,"Subversion is a concurrent version control system which enables one
or more users to collaborate in developing and maintaining a
hierarchy of files and directories while keeping a history of all
changes.  Subversion only stores the differences between versions,
instead of every complete file.  Subversion is intended to be a
compelling replacement for CVS.",服务,版本管理工具
subversion-gnome,库,服务,GNOME Keyring support for Subversion,"The subversion-gnome package adds support for storing Subversion
passwords in the GNOME Keyring.",服务,版本管理工具
subversion-javahl,库,工具,JNI bindings to the Subversion libraries,This package includes the JNI bindings to the Subversion libraries.,库,libraries
subversion-libs,库,工具,Libraries for Subversion Version Control system,"The subversion-libs package includes the essential shared libraries
used by the Subversion version control tools.",库,libraries
subversion-perl,库,工具,Perl bindings to the Subversion libraries,This package includes the Perl bindings to the Subversion libraries.,库,libraries
sudo,工具,服务,Allows restricted root access for specified users,"Sudo (superuser do) allows a system administrator to give certain
users (or groups of users) the ability to run some (or all) commands
as root while logging all commands and arguments. Sudo operates on a
per-command basis.  It is not a replacement for the shell.  Features
include: the ability to restrict what commands a user may run on a
per-host basis, copious logging of each command (providing a clear
audit trail of who did what), a configurable timeout of the sudo
command, and the ability to use the same configuration file (sudoers)
on many different machines.",工具,
SuperLU,库,工具,Subroutines to solve sparse linear systems,"SuperLU contains a set of subroutines to solve a sparse linear system
A*X=B. It uses Gaussian elimination with partial pivoting (GEPP).
The columns of A may be preordered before factorization; the
preordering for sparsity is completely separate from the factorization.",库,subroutines
sushi,工具,库,A quick previewer for Nautilus,"This is sushi, a quick previewer for Nautilus, the GNOME desktop
file manager.",工具,
swtpm,库,服务,TPM Emulator,TPM emulator built on libtpms providing TPM functionality for QEMU VMs,服务,
swtpm-tools,库,服务,Tools for the TPM emulator,Tools for the TPM emulator from the swtpm package,工具,Tools
swtpm-tools-pkcs11,库,服务,Tools for creating a local CA based on a TPM pkcs11 device,Tools for creating a local CA based on a pkcs11 device,工具,Tools
syslinux-extlinux-nonlinux,工具,服务,The parts of the EXTLINUX bootloader which aren't run from linux.,"All the EXTLINUX binaries that run from the firmware rather than
from a linux host.",工具,bootloader
syslinux-nonlinux,工具,服务,SYSLINUX modules which aren't run from linux.,"All the SYSLINUX binaries that run from the firmware rather than from a
linux host. It also includes a tool, MEMDISK, which loads legacy operating
systems from media.",工具,bootloader
syslinux-tftpboot,工具,服务,"SYSLINUX modules in /tftpboot, available for network booting","All the SYSLINUX/PXELINUX modules directly available for network
booting in the /tftpboot directory.",工具,bootloader
system-config-printer-libs,库,工具,Libraries and shared code for printer administration tool,"The common code used by both the graphical and non-graphical parts of
the configuration tool.",库,libraries
system-config-printer-udev,库,服务,Rules for udev for automatic configuration of USB printers,"The udev rules and helper programs for automatically configuring USB
printers.",库,libraries
systemd,其它,工具,System and Service Manager,"systemd is a system and service manager that runs as PID 1 and starts
the rest of the system. It provides aggressive parallelization
capabilities, uses socket and D-Bus activation for starting services,
offers on-demand starting of daemons, keeps track of processes using
Linux control groups, maintains mount and automount points, and
implements an elaborate transactional dependency-based service control
logic. systemd supports SysV and LSB init scripts and works as a
replacement for sysvinit. Other parts of this package are a logging daemon,
utilities to control basic system configuration like the hostname,
date, locale, maintain a list of logged-in users, system accounts,
runtime directories and settings, and daemons to manage simple network
configuration, network time synchronization, log forwarding, and name
resolution.",服务,service manager
systemd-container,工具,服务,Tools for containers and VMs,"Systemd tools to spawn and manage containers and virtual machines.

This package contains systemd-nspawn, machinectl, systemd-machined,
and systemd-importd.",工具,Tools
systemd-journal-remote,工具,服务,Tools to send journal events over the network,"Programs to forward journal entries over the network, using encrypted HTTP,
and to write journal files from serialized journal contents.

This package contains systemd-journal-gatewayd,
systemd-journal-remote, and systemd-journal-upload.",工具,Tools
systemd-libs,库,工具,systemd libraries,Libraries for systemd and udev.,库,libraries
systemd-pam,其它,服务,systemd PAM module,Systemd PAM module registers the session with systemd-logind.,服务,
system-lsb-cxx,服务,库,LSB CXX module support,"The Linux Standard Base (LSB) CXX module supports the core interfaces by
providing system interfaces, libraries, and a runtime environment for
applications built using the C++ programming language. These interfaces
provide low-level support for the core constructs of the language, and
implement the standard base C++ libraries.",服务,
system-lsb-languages,服务,库,LSB Languages module support,"The Linux Standard Base (LSB) Languages module supports components for runtime
languages which are found on an LSB conforming system.",服务,
system-lsb-submod-multimedia,服务,库,LSB Multimedia submodule support,"The Linux Standard Base (LSB) Multimedia submodule specifications define
components that are required to be present on an LSB conforming system.",服务,
systemtap-client,工具,服务,Programmable system-wide instrumentation system - client,"This package contains/requires the components needed to develop
systemtap scripts, and compile them using a local systemtap-devel
or a remote systemtap-server installation, then run them using a
local or remote systemtap-runtime.  It includes script samples and
documentation, and a copy of the tapset library for reference.",工具,client
systemtap-exporter,工具,服务,Systemtap-prometheus interoperation mechanism,"This package includes files for a systemd service that manages
systemtap sessions and relays prometheus metrics from the sessions
to remote requesters on demand.",服务,
systemtap-initscript,工具,服务,Systemtap Initscripts,"This package includes a SysVinit script to launch selected systemtap
scripts at system startup, along with a dracut module for early
boot-time probing if supported.",工具,
systemtap-runtime-virthost,工具,服务,Systemtap Cross-VM Instrumentation - host,"This package includes the components required to run systemtap scripts
inside a libvirt-managed domain from the host without using a network
connection.",工具,
systemtap-server,工具,服务,Instrumentation System Server,"This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand.",服务,server
targetcli,工具,服务,An administration shell for storage targets,"An administration shell for configuring iSCSI, FCoE, and other
SCSI targets, using the TCM/LIO kernel target subsystem. FCoE
users will also need to install and use fcoe-utils.",工具,
