pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
geronimo-parent-poms,"
Parent POM files for geronimo-specs.","
The Project Object Model files for the geronimo-specs modules.",geronimo pom specs ,geronimo specs modules model files ,parent file geronimo-specs ,object model file geronimo-specs project ,10,none
cockpit-podman,"
Cockpit component for Podman containers.","
The Cockpit user interface for Podman containers.",cockpit containers podman ,cockpit podman containers interface user ,cockpit component podman ,cockpit user interface podman container ,10,none
apache-commons-codec,"
Implementations of common encoders and decoders.","
Commons Codec is an attempt to provide definitive implementations of
commonly used encoders and decoders. Examples include Base64, Hex,
Phonetic and URLs.",encoders decoders implementations ,codec encoders decoders base64 commons ,implementations common encoders ,definitive provide implementation attempt commonly ,10,none
apache-commons-compress,"
Java API for working with compressed files and archivers.","
The Apache Commons Compress library defines an API for working with
ar, cpio, Unix dump, tar, zip, gzip, XZ, Pack200 and bzip2 files.
In version 1.14 read-only support for Brotli decompression has been added,
but it has been removed form this package.",archivers compressed api ,bzip2 gzip decompression commons brotli ,java work compressed ,brotli decompression defines dump work ,10,none
cloud-utils-growpart,"
Script for growing a partition.","
This package provides the growpart script for growing a partition. It is
primarily used in cloud images in conjunction with the dracut-modules-growroot
package to grow the root partition on first boot.",partition growing script ,growpart growroot grow growing partition ,script grow partition ,grow package partition dracut-modules-growroot conjunction ,10,云
filesystem,"
The basic directory layout for a Linux system.","
The filesystem package is one of the basic packages that is installed
on a Linux system. Filesystem contains the basic directory layout
for a Linux operating system, including the correct permissions for
the directories.",directory linux layout ,filesystem directory linux permissions packages ,basic directory layout ,linux system directory basic layout ,10,基础环境
langpacks,"
Afrikaans langpacks meta-package.
Amharic langpacks meta-package.
Arabic langpacks meta-package.
Assamese langpacks meta-package.
Asturian langpacks meta-package.
Belarusian langpacks meta-package.
Bulgarian langpacks meta-package.
Bengali langpacks meta-package.
Breton langpacks meta-package.
Bosnian langpacks meta-package.
Catalan langpacks meta-package.
Czech langpacks meta-package.
Welsh langpacks meta-package.
Danish langpacks meta-package.
German langpacks meta-package.
Greek langpacks meta-package.
English langpacks meta-package.
English (United Kingdom) langpacks meta-package.
Spanish langpacks meta-package.
Estonian langpacks meta-package.
Basque langpacks meta-package.
Persian langpacks meta-package.
Finnish langpacks meta-package.
French langpacks meta-package.
Irish langpacks meta-package.
Galician langpacks meta-package.
Gujarati langpacks meta-package.
Hebrew langpacks meta-package.
Hindi langpacks meta-package.
Croatian langpacks meta-package.
Hungarian langpacks meta-package.
Interlingua langpacks meta-package.
Indonesian langpacks meta-package.
Icelandic langpacks meta-package.
Italian langpacks meta-package.
Japanese langpacks meta-package.
Kazakh langpacks meta-package.
Kannada langpacks meta-package.
Korean langpacks meta-package.
Lithuanian langpacks meta-package.
Latvian langpacks meta-package.
Maithili langpacks meta-package.
Macedonian langpacks meta-package.
Malayalam langpacks meta-package.
Marathi langpacks meta-package.
Malay langpacks meta-package.
Norwegian Bokmål langpacks meta-package.
Nepali langpacks meta-package.
Dutch langpacks meta-package.
Nynorsk langpacks meta-package.
Southern Ndebele langpacks meta-package.
Northern Sotho langpacks meta-package.
Oriya langpacks meta-package.
Punjabi langpacks meta-package.
Polish langpacks meta-package.
Portuguese langpacks meta-package.
Portuguese (Brazil) langpacks meta-package.
Romanian langpacks meta-package.
Russian langpacks meta-package.
Sinhala langpacks meta-package.
Slovak langpacks meta-package.
Slovenian langpacks meta-package.
Albanian langpacks meta-package.
Serbian langpacks meta-package.
Swati langpacks meta-package.
Swedish langpacks meta-package.
Tamil langpacks meta-package.
Telugu langpacks meta-package.
Thai langpacks meta-package.
Tswana langpacks meta-package.
Turkish langpacks meta-package.
Tsonga langpacks meta-package.
Ukrainian langpacks meta-package.
Urdu langpacks meta-package.
Venda langpacks meta-package.
Vietnamese langpacks meta-package.
Xhosa langpacks meta-package.
Simplified Chinese langpacks meta-package.
Traditional Chinese langpacks meta-package.
Zulu langpacks meta-package.","
This package provides Afrikaans langpacks meta-package.
This package provides Amharic langpacks meta-package.
This package provides Arabic langpacks meta-package.
This package provides Assamese langpacks meta-package.
This package provides Asturian langpacks meta-package.
This package provides Belarusian langpacks meta-package.
This package provides Bulgarian langpacks meta-package.
This package provides Bengali langpacks meta-package.
This package provides Breton langpacks meta-package.
This package provides Bosnian langpacks meta-package.
This package provides Catalan langpacks meta-package.
This package provides Czech langpacks meta-package.
This package provides Welsh langpacks meta-package.
This package provides Danish langpacks meta-package.
This package provides German langpacks meta-package.
This package provides Greek langpacks meta-package.
This package provides English langpacks meta-package.
This package provides English (United Kingdom) langpacks meta-package.
This package provides Spanish langpacks meta-package.
This package provides Estonian langpacks meta-package.
This package provides Basque langpacks meta-package.
This package provides Persian langpacks meta-package.
This package provides Finnish langpacks meta-package.
This package provides French langpacks meta-package.
This package provides Irish langpacks meta-package.
This package provides Galician langpacks meta-package.
This package provides Gujarati langpacks meta-package.
This package provides Hebrew langpacks meta-package.
This package provides Hindi langpacks meta-package.
This package provides Croatian langpacks meta-package.
This package provides Hungarian langpacks meta-package.
This package provides Interlingua langpacks meta-package.
This package provides Indonesian langpacks meta-package.
This package provides Icelandic langpacks meta-package.
This package provides Italian langpacks meta-package.
This package provides Japanese langpacks meta-package.
This package provides Kazakh langpacks meta-package.
This package provides Kannada langpacks meta-package.
This package provides Korean langpacks meta-package.
This package provides Lithuanian langpacks meta-package.
This package provides Latvian langpacks meta-package.
This package provides Maithili langpacks meta-package.
This package provides Macedonian langpacks meta-package.
This package provides Malayalam langpacks meta-package.
This package provides Marathi langpacks meta-package.
This package provides Malay langpacks meta-package.
This package provides Norwegian Bokmål langpacks meta-package.
This package provides Nepali langpacks meta-package.
This package provides Dutch langpacks meta-package.
This package provides Nynorsk langpacks meta-package.
This package provides Southern Ndebele langpacks meta-package.
This package provides Northern Sotho langpacks meta-package.
This package provides Oriya langpacks meta-package.
This package provides Punjabi langpacks meta-package.
This package provides Polish langpacks meta-package.
This package provides Portuguese langpacks meta-package.
This package provides Portuguese (Brazil) langpacks meta-package.
This package provides Romanian langpacks meta-package.
This package provides Russian langpacks meta-package.
This package provides Sinhala langpacks meta-package.
This package provides Slovak langpacks meta-package.
This package provides Slovenian langpacks meta-package.
This package provides Albanian langpacks meta-package.
This package provides Serbian langpacks meta-package.
This package provides Swati langpacks meta-package.
This package provides Swedish langpacks meta-package.
This package provides Tamil langpacks meta-package.
This package provides Telugu langpacks meta-package.
This package provides Thai langpacks meta-package.
This package provides Tswana langpacks meta-package.
This package provides Turkish langpacks meta-package.
This package provides Tsonga langpacks meta-package.
This package provides Ukrainian langpacks meta-package.
This package provides Urdu langpacks meta-package.
This package provides Venda langpacks meta-package.
This package provides Vietnamese langpacks meta-package.
This package provides Xhosa langpacks meta-package.
This package provides Simplified Chinese langpacks meta-package.
This package provides Traditional Chinese langpacks meta-package.
This package provides Zulu langpacks meta-package.",langpacks afrikaans welsh ,langpacks afrikaans welsh malayalam arabic ,langpacks meta-package chinese ,package provide langpacks meta-package chinese ,10,基础环境
lorax-templates-anolis,"
Anolis OS build templates for lorax and livemedia-creator.","
Anolis OS specific Lorax templates for creating the boot.iso and live isos are
placed in /usr/share/lorax/templates.d/80-anolis",livemedia anolis templates ,anolis iso lorax boot templates ,anolis build template ,create boot.iso template live lorax ,10,基础环境
rootfiles,"
The basic required files for the root user's directory.","
The rootfiles package contains basic required files that are placed
in the root user's account.  These files are basically the same
as those in /etc/skel, which are placed in regular
users' home directories.",directory root basic ,rootfiles root files directories skel ,required file root ,place file user require basic ,10,基础环境
tzdata,"
Timezone data.","
This package contains data files with rules for various timezones around
the world.",timezone data ,timezones files package data world ,timezone data ,rule file various data timezones ,10,基础环境
adobe-mappings-pdf,"
PDF mapping resources from Adobe.","
Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",pdf adobe mapping ,cmap pdf mapping ghostscript resources ,resource adobe ,resource function mapping file structure ,10,应用工具
amanda,"
The client component of the AMANDA tape backup system.
Amanda libraries.
The server side of the AMANDA tape backup system.
A network-capable tape backup solution.","
The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine.
This package contains basic Amanda libraries, which are used by all
Amanda programs.
The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed.
AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.",backup tape amanda ,backup amanda samba archiver client ,tape backup amanda ,amanda back server backup package ,10,应用工具
asciidoc,"
Text based document generation.","
AsciiDoc is a text document format for writing short documents,
articles, books and UNIX man pages. AsciiDoc files can be translated
to HTML and DocBook markups using the asciidoc(1) command.",document text generation ,asciidoc document text format unix ,text base document ,asciidoc document article short write ,10,应用工具
autotrace,"
Utility for converting bitmaps to vector graphics.","
AutoTrace is a program for converting bitmaps to vector graphics.

Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output
can be produced in Postscript, SVG, xfig, SWF, and others.",bitmaps graphics vector ,autotrace bitmaps graphics svg program ,utility convert bitmap ,output whereas include produce program ,10,应用工具
babeltrace,"
Common Trace Format Babel Tower.","
This project provides trace read and write libraries, as well as a trace
converter. A plugin can be created for any trace format to allow its conversion
to/from another trace format.",trace babel format ,trace converter libraries format plugin ,common trace format ,trace write format allow library ,10,应用工具
baobab,"
A graphical directory tree analyzer.","
Baobab is able to scan either specific directories or the whole filesystem, in
order to give the user a graphical tree representation including each
directory size or percentage in the branch.  It also auto-detects in real-time
any change made to your home folder as far as any mounted/unmounted device.",directory tree analyzer ,baobab directories filesystem scan tree ,graphical directory tree ,directory make home change specific ,10,应用工具
bogofilter,"
Fast anti-spam filtering by Bayesian statistical analysis.","
Bogofilter is a Bayesian spam filter.  In its normal mode of
operation, it takes an email message or other text on standard input,
does a statistical check against lists of ""good"" and ""bad"" words, and
returns a status code indicating whether or not the message is spam.
Bogofilter is designed with fast algorithms (including Berkeley DB system),
coded directly in C, and tuned for speed, so it can be used for production
by sites that process a lot of mail.",spam filtering bayesian ,bogofilter spam filter db bayesian ,anti-spam filtering bayesian ,message speed include tune berkeley ,10,应用工具
brltty,"
Application Programming Interface for BRLTTY.
Java binding for BrlAPI.
AtSpi2 driver for BRLTTY.
Documentation for BRLTTY.
brltty module for Dracut.
eSpeak-NG driver for BRLTTY.
XWindow driver for BRLTTY.
Tcl binding for BrlAPI.
Braille display driver for Linux/Unix.
Python 3 binding for BrlAPI.","
This package provides the run-time support for the Application
Programming Interface to BRLTTY.

Install this package if you have an application which directly accesses
a refreshable braille display.
This package provides the Java binding for BrlAPI.
This package provides the AtSpi2 driver for BRLTTY.
This package provides the documentation for BRLTTY.
This package provides brltty module for Dracut.
This package provides the eSpeak-NG driver for BRLTTY.
This package provides the XWindow driver for BRLTTY.
This package provides the Tcl binding for BrlAPI.
BRLTTY is a background process (daemon) which provides
access to the Linux/Unix console (when in text mode)
for a blind person using a refreshable braille display.
It drives the braille display and provides complete
screen review functionality.
This package provides the Python 3 binding for BrlAPI.",braille brlapi interface ,braille brlapi python driver screen ,brltty driver brlapi ,provide package brltty access application ,10,应用工具
byzanz,"
A desktop recorder.","
Byzanz is a desktop recorder striving for ease of use. It can record to
GIF images, Ogg Theora video - optionally with sound - and other formats.
A command-line recording tool is included.",recorder desktop ,byzanz recording ogg gif desktop ,desktop recorder ,theora video optionally command-line recording ,10,应用工具
cdrdao,"
Writes audio CD-Rs in disk-at-once (DAO) mode.","
Cdrdao records audio CD-Rs in disk-at-once (DAO) mode, based on a
textual description of the CD contents. Recording in DAO mode writes
the complete disc (lead-in, one or more tracks, and lead-out) in a
single step. DAO allows full control over the length and the contents
of pre-gaps, the pause areas between tracks.",cd disk audio ,cd cdrdao recording disc dao ,writes audio cd-rs ,mode content track disk-at-once lead-in ,10,应用工具
cheese,"
Application for taking pictures and movies from a webcam.
Webcam display and capture widgets.","
Cheese is a Photobooth-inspired GNOME application for taking pictures and
videos from a webcam. It can also apply fancy graphical effects.
This package contains libraries needed for applications that
want to display a webcam in their interface.",webcam widgets application ,webcam cheese photobooth pictures applications ,webcam application take ,application webcam take need want ,10,应用工具
cldr-emoji-annotation,"
Emoji annotation files in CLDR.","
This package provides the emoji annotation file by language in CLDR.",emoji cldr annotation ,emoji cldr annotation language file ,emoji annotation file ,emoji annotation file provide language ,10,应用工具
copy-jdk-configs,"
JDKs configuration files copier.","
Utility script to transfer JDKs configuration files between updates or for
archiving. With script to fix incorrectly created rpmnew files",jdks copier configuration ,jdks rpmnew script transfer archiving ,jdks configuration file ,file script jdks configuration transfer ,10,应用工具
crash-trace-command,"
Trace extension module for the crash utility.","
Command for reading ftrace data from a dumpfile.",crash trace extension ,ftrace dumpfile command reading data ,trace extension module ,command read ftrace data dumpfile ,10,应用工具
dconf-editor,"
Configuration editor for dconf.","
Graphical tool for editing the dconf configuration database.",dconf configuration editor ,dconf configuration graphical database editing ,configuration editor dconf ,tool edit dconf configuration graphical ,10,应用工具
dcraw,"
Tool for decoding raw image data from digital cameras.","
This package contains dcraw, a command line tool to decode raw image data
downloaded from digital cameras.",decoding cameras raw ,decode dcraw raw cameras command ,decode image data ,line image tool decode command ,10,应用工具
desktop-file-utils,"
Utilities for manipulating .desktop files.","
.desktop files are used to describe an application for inclusion in
GNOME or KDE menus.  This package contains desktop-file-validate which
checks whether a .desktop file complies with the specification at
http://www.freedesktop.org/standards/, and desktop-file-install
which installs a desktop file to the standard directory, optionally
fixing it up in the process.",files desktop manipulating ,desktop file menus specification validate ,utilities manipulate file ,file whether desktop complies install ,10,应用工具
diffstat,"
A utility which provides statistics based on the output of diff.","
The diff command compares files line by line.  Diffstat reads the
output of the diff command and displays a histogram of the insertions,
deletions and modifications in each file.  Diffstat is commonly used
to provide a summary of the changes in large, complex patch files.

Install diffstat if you need a program which provides a summary of the
diff command's output.",statistics diff utility ,diffstat diff histogram file patch ,provide statistic base ,command diff file provide summary ,10,应用工具
djvulibre,"
DjVu viewers, encoders, and utilities.
Library files for DjVuLibre.","
DjVu is a web-centric format and software platform for distributing documents
and images. DjVu can advantageously replace PDF, PS, TIFF, JPEG, and GIF for
distributing scanned documents, digital documents, or high-resolution pictures.
DjVu content downloads faster, displays and renders faster, looks nicer on a
screen, and consume less client resources than competing formats. DjVu images
display instantly and can be smoothly zoomed and panned with no lengthy
re-rendering.

DjVuLibre is a free (GPL'ed) implementation of DjVu, including viewers,
decoders, simple encoders, and utilities. The browser plugin is in its own
separate sub-package.
Library files for DjVuLibre.",djvulibre djvu encoders ,djvulibre djvu jpeg software plugin ,library file djvulibre ,djvu display distribute document format ,10,应用工具
docbook2X,"
Convert docbook into man and Texinfo.","
docbook2X converts DocBook documents into man pages and Texinfo
documents.",docbook texinfo convert ,docbook2x docbook pages texinfo converts ,convert docbook texinfo ,convert docbook document page docbook2x ,10,应用工具
docbook-utils,"
Shell scripts for managing DocBook documents.","
This package contains scripts are for easy conversion from DocBook
files to other formats (for example, HTML, RTF, and PostScript), and
for comparing SGML files.",docbook scripts documents ,docbook sgml scripts formats package ,shell script manage ,file conversion docbook example format ,10,应用工具
dos2unix,"
Text file format converters.","
Convert text files with DOS or Mac line endings to Unix line endings and
vice versa.",converters format file ,unix dos endings convert line ,text file format ,line ending unix text file ,10,应用工具
dtkcommon,"
DTK common files.","
This package contains common configuration files for DTK.",dtk files common ,dtk configuration package files common ,common file ,package contain common configuration file ,10,应用工具
dvd+rw-tools,"
Toolchain to master DVD+RW/+R media.","
Collection of tools to master DVD+RW/+R media. For further
information see http://fy.chalmers.se/~appro/linux/DVD+RW/.",dvd toolchain rw ,dvd rw linux tools master ,toolchain master dvd+rw/+r ,collection tool master dvd+rw/+r medium ,10,应用工具
elinks,"
A text-mode Web browser.","
Elinks is a text-based Web browser. Elinks does not display any images,
but it does support frames, tables and most other HTML tags. Elinks'
advantage over graphical browsers is its speed--Elinks starts and exits
quickly and swiftly displays Web pages.",browser text web ,elinks browsers html images advantage ,text-mode browser ,elinks display browser speed exit ,10,应用工具
erofs-utils,"
Experimental FUSE support for reading EROFS images.
Utilities for working with EROFS.","
EROFS stands for Enhanced Read-Only File System.  Different from other
read-only file systems, it is designed for flexibility, scalability, and
simplicity for high performance.

The erofs-fuse package includes erofsfuse to read EROFS images.
EROFS stands for Enhanced Read-Only File System.  Different from other
read-only file systems, it is designed for flexibility, scalability, and
simplicity for high performance.

The erofs-utils package includes mkfs.erofs to create EROFS images.",erofs fuse images ,erofsfuse erofs mkfs file systems ,erofs fuse support ,erofs include system file package ,10,应用工具
espeak-ng,"
eSpeak NG Text-to-Speech.","
The eSpeak NG (Next Generation) Text-to-Speech program is an open source speech
synthesizer that supports over 70 languages. It is based on the eSpeak engine
created by Jonathan Duddington. It uses spectral formant synthesis by default
which sounds robotic, but can be configured to use Klatt formant synthesis
or MBROLA to give it a more natural sound.",espeak speech ng ,espeak synthesizer speech languages ng ,espeak text-to-speech ,espeak formant synthesis sound source ,10,应用工具
eth-tools,"
Management level tools and scripts.
Management level tools and scripts.","
Contains basic tools for fabric management necessary on all compute nodes.
Contains tools for managing fabric on a management node.",scripts tools management ,fabric nodes tools managing contains ,management level tool ,tool fabric management necessary node ,10,应用工具
evolution,"
Bogofilter plugin for Evolution.
Help files for evolution.
PST importer plugin for Evolution.
SpamAssassin plugin for Evolution.
Mail and calendar client for GNOME.
Translations for evolution.","
This package contains the plugin to filter junk mail using Bogofilter.
This package contains user documentation for evolution.
This package contains the plugin to import Microsoft Personal Storage Table
(PST) files used by Microsoft Outlook and Microsoft Exchange.
This package contains the plugin to filter junk mail using SpamAssassin.
Evolution is the GNOME mailer, calendar, contact manager and
communications tool.  The components which make up Evolution
are tightly integrated with one another and act as a seamless
personal information-management tool.
This package contains translations for evolution.",evolution importer bogofilter ,mailer evolution spamassassin import filter ,evolution plugin mail ,evolution personal contain plugin package ,10,应用工具
evolution-data-server,"
Backend data server for Evolution.
Translations for evolution-data-server.","
The evolution-data-server package provides a unified backend for programs that work
with contacts, tasks, and calendar information.

It was originally developed for Evolution (hence the name), but is now used
by other packages.
This package contains translations for evolution-data-server.",backend evolution translations ,backend evolution calendar data packages ,backend data server ,package work backend program contact ,10,应用工具
evolution-ews,"
Evolution extension for Exchange Web Services.
Translations for evolution-ews.","
This package allows Evolution to interact with Microsoft Exchange servers,
versions 2007 and later, through its Exchange Web Services (EWS) interface.
This package contains translations for evolution-ews.",translations ews evolution ,exchange ews evolution microsoft translations ,evolution extension exchange ,exchange package microsoft interact version ,10,应用工具
evolution-mapi,"
Evolution extension for MS Exchange 2007 servers.
Translations for evolution-mapi.","
This package allows Evolution to interact with MS Exchange 2007 servers.
This package contains translations for evolution-mapi.",exchange translations evolution ,exchange evolution mapi translations ms ,evolution extension exchange ,package allow evolution interact exchange ,10,应用工具
exfat-utils,"
Utilities for exFAT file system.","
A set of utilities for creating, checking, dumping and labeling exFAT file
system.",exfat file utilities ,exfat file dumping utilities labeling ,utilities exfat file ,dump label exfat check file ,10,应用工具
exiv2,"
Exif and Iptc metadata manipulation library.
Exif and Iptc metadata manipulation library.","
A command line utility to access image metadata, allowing one to:
* print the Exif metadata of Jpeg images as summary info, interpreted values,
  or the plain data for each tag
* print the Iptc metadata of Jpeg images
* print the Jpeg comment of Jpeg images
* set, add and delete Exif and Iptc metadata of Jpeg images
* adjust the Exif timestamp (that's how it all started...)
* rename Exif image files according to the Exif timestamp
* extract, insert and delete Exif metadata (including thumbnails),
  Iptc metadata and Jpeg comments
A C++ library to access image metadata, supporting full read and write access
to the Exif and Iptc metadata, Exif MakerNote support, extract and delete
methods for Exif thumbnails, classes to access Ifd and so on.",exif metadata iptc ,metadata exif jpeg thumbnails iptc ,exif iptc metadata ,exif image metadata access iptc ,10,应用工具
fence-agents,"
Set of unified programs capable of host isolation (""fencing"").
Fence agent for IBM PowerVS.
Fence agent for KubeVirt platform.
Fence agent for IBM LPAR.
Fence agent for virtual machines based on libvirt.
Fence agent for Intel AMT (WS-Man) devices.
Fence agent for APC devices.
Fence agents for APC devices (SNMP).
Fence agent for IBM BladeCenter.
Fence agent for Brocade switches.
Fence agent for Cisco MDS 9000 series.
Fence agent for Cisco UCS series.
Common base for Fence Agents.
Fence agent for Nova compute nodes.
Fence agent for Dell DRAC 5.
Fence agent for Eaton network power switches.
Fence agent for Emerson devices (SNMP).
Fence agent for ePowerSwitch 8M+ power switches.
Pseudo fence agent to affect other agents based on ping-heuristics.
Fence agent for HP BladeSystem devices.
Fence agent for IBM BladeCenter.
Fence agent for devices with IF-MIB interfaces.
Fence agent for HP iLO Moonshot devices.
Fence agent for HP iLO MP devices.
Fence agents for HP iLO devices over SSH.
Fence agents for HP iLO2 devices.
Fence agent for devices with Intel Modular interfaces.
Fence agent for IBM iPDU network power switches.
Fence agents for devices with IPMI interface.
Fence agent for use with kdump crash recovery service.
Fence agent for reservations over Device Mapper Multipath.
Fence agent for Redfish.
Fence agent for RHEV-M.
Fence agent for IBM RSA II.
Fence agent for Fujitsu RSB.
Fence agent for SBD (storage-based death).
Fence agent for SCSI persistent reservations.
Fence agent for VMWare with REST API.
Fence agent for VMWare with SOAP API v4.1+.
Fence agent for WTI Network power switches.","
A collection of executables to handle isolation (""fencing"") of possibly
misbehaving hosts by the means of remote power management, blocking
network, storage, or similar.

This package serves as a catch-all for all supported fence agents.
Fence agent for IBM PowerVS that are accessed via REST API.
Fence agent for KubeVirt platform.
Fence agent for IBM LPAR devices that are accessed via telnet or SSH.
Fence agent for virtual machines that are accessed via SSH.
The fence-agents-amt-ws package contains a fence agent for AMT (WS-Man) devices.
Fence agent for APC devices that are accessed via telnet or SSH.
Fence agents for APC devices that are accessed via the SNMP protocol.
Fence agent for IBM BladeCenter devices that are accessed
via telnet or SSH.
Fence agent for Brocade devices that are accessed via telnet or SSH.
Fence agent for Cisco MDS 9000 series devices that are accessed
via the SNMP protocol.
Fence agent for Cisco UCS series devices that are accessed
via the SNMP protocol.
A collection of executables to handle isolation (""fencing"") of possibly
misbehaving hosts by the means of remote power management, blocking
network, storage, or similar.

This package contains support files including the Python fencing library.
Fence agent for Nova compute nodes.
Fence agent for Dell DRAC 5 series devices that are accessed
via telnet or SSH.
Fence agent for Eaton network power switches that are accessed
via the SNMP protocol.
Fence agent for Emerson devices that are accessed via
the SNMP protocol.
Fence agent for ePowerSwitch 8M+ power switches that are accessed
via the HTTP(s) protocol.
Fence pseudo agent used to affect other agents based on
ping-heuristics.
Fence agent for HP BladeSystem devices that are accessed via telnet
or SSH.
Fence agent for IBM BladeCenter devices that are accessed
via the SNMP protocol.
Fence agent for IF-MIB interfaces that are accessed via
the SNMP protocol.
Fence agent for HP iLO Moonshot devices that are accessed
via telnet or SSH.
Fence agent for HP iLO MP devices that are accessed via telnet or SSH.
Fence agents for HP iLO devices that are accessed via telnet or SSH.
Fence agents for HP iLO2 devices that are accessed via
the HTTP(s) protocol.
Fence agent for Intel Modular interfaces that are accessed
via the SNMP protocol.
Fence agent for IBM iPDU network power switches that are accessed
via the SNMP protocol.
Fence agents for devices with IPMI interface.
Fence agent for use with kdump crash recovery service.
Fence agent for SCSI persistent reservation over
Device Mapper Multipath.
The fence-agents-redfish package contains a fence agent for Redfish
Fence agent for RHEV-M via REST API.
Fence agent for IBM RSA II devices that are accessed
via telnet or SSH.
Fence agent for Fujitsu RSB devices that are accessed
via telnet or SSH.
Fence agent for SBD (storage-based death).
Fence agent for SCSI persistent reservations.
Fence agent for VMWare with REST API.
Fence agent for VMWare with SOAP API v4.1+.
Fence agent for WTI network power switches that are accessed
via telnet or SSH.",fence agents epowerswitch ,fence blocking protocol agents kubevirt ,agent fence device ,agent fence access device power ,10,应用工具
ffmpegthumbnailer,"
Lightweight video thumbnailer that can be used by file managers.","
This video thumbnailer can be used to create thumbnails for your video files.",thumbnailer video lightweight ,thumbnailer thumbnails video files create ,lightweight video thumbnailer ,video thumbnailer create thumbnail file ,10,应用工具
file-roller,"
Tool for viewing and creating archives.","
File Roller is an application for creating and viewing archives files,
such as tar or zip files.",archives tool viewing ,roller files archives zip tar ,tool view create ,file roller application create view ,10,应用工具
firefox,"
Mozilla Firefox Web browser.","
Mozilla Firefox is an open-source web browser, designed for standards
compliance, performance and portability.",firefox mozilla browser ,mozilla firefox browser portability compliance ,mozilla firefox browser ,design browser standard open-source compliance ,10,应用工具
flatpak-builder,"
Tool to build flatpaks from source.","
Flatpak-builder is a tool for building flatpaks from sources.

See http://flatpak.org/ for more information.",flatpaks build tool ,flatpak flatpaks builder building tool ,tool build flatpaks ,flatpak-builder tool build flatpaks source ,10,应用工具
flite,"
Small, fast speech synthesis engine (text-to-speech).","
Flite (festival-lite) is a small, fast run-time speech synthesis engine
developed at CMU and primarily designed for small embedded machines and/or
large servers. Flite is designed as an alternative synthesis engine to
Festival for voices built using the FestVox suite of voice building tools.",synthesis speech engine ,flite lite festival speech synthesis ,fast speech synthesis ,small engine synthesis design voice ,10,应用工具
geoipupdate,"
Update GeoIP2 and GeoIP Legacy binary databases from MaxMind.","
The GeoIP Update program performs automatic updates of GeoIP2 and GeoIP
Legacy binary databases.",geoip2 maxmind databases ,geoip2 geoip updates binary databases ,geoip legacy binary ,geoip geoip2 update legacy automatic ,10,应用工具
geolite2,"
Free IP geolocation city database.
Free IP geolocation country database.","
GeoLite2 databases are free IP geolocation databases comparable to, but less
accurate than, MaxMind's GeoIP2 databases.  This product includes GeoLite2 data
created by MaxMind, available from http://www.maxmind.com.
GeoLite2 databases are free IP geolocation databases comparable to, but less
accurate than, MaxMind's GeoIP2 databases.  This product includes GeoLite2 data
created by MaxMind, available from http://www.maxmind.com.",geolocation ip database ,geolocation geoip2 geolite2 databases ip ,free geolocation database ,maxmind geolite2 databases create comparable ,10,应用工具
ghostscript,"
Ghostscript's X11-based driver for document rendering.
Library providing Ghostcript's core functionality.
Interpreter for PostScript language & PDF.","
This package provides X11-based driver for Ghostscript, which enables displaying
of various document files (including PS and PDF).
This library provides Ghostscript's core functionality, based on Ghostscript's
API, which is useful for many packages that are build on top of Ghostscript.
This package provides useful conversion utilities based on Ghostscript software,
for converting PS, PDF and other document formats between each other.

Ghostscript is a suite of software providing an interpreter for Adobe Systems'
PostScript (PS) and Portable Document Format (PDF) page description languages.
Its primary purpose includes displaying (rasterization & rendering) and printing
of document pages, as well as conversions between different document formats.",ghostscript rendering pdf ,ghostscript adobe pdf postscript formats ,ghostscript x11-based driver ,document ghostscript provide display format ,10,应用工具
grafana,"
Metrics dashboard and graph editor.","
Grafana is an open source, feature rich metrics dashboard and graph editor for
Graphite, InfluxDB & OpenTSDB.",dashboard metrics graph ,influxdb grafana graphite dashboard metrics ,metrics dashboard graph ,rich graph metric dashboard feature ,10,应用工具
graphviz,"
Graph Visualization Tools.","
A collection of tools for the manipulation and layout of graphs (as in nodes
and edges, not as in barcharts).",visualization graph tools ,barcharts graphs tools nodes layout ,graph visualization tools ,layout graph node manipulation edge ,10,应用工具
